iter	Passed	Remaining
737	6370	2261
738	6378	2252
739	6386	2244
740	6394	2234
741	6402	2226
742	6410	2217
743	6419	2208
744	6426	2199
745	6436	2191
746	6444	2182
747	6452	2173
748	6461	2165
749	6469	2156
750	6478	2147
751	6486	2139
752	6494	2130
753	6503	2121
754	6511	2112
755	6519	2104
756	6527	2095
757	6535	2086
758	6544	2077
759	6551	2069
760	6560	2060
761	6568	2051
762	6576	2042
763	6584	2033
764	6593	2025
765	6600	2016
766	6609	2007
767	6616	1998
768	6627	1990
769	6636	1982
770	6646	1974
771	6656	1965
772	6665	1957
773	6678	1950
774	6690	1942
775	6700	1934
776	6710	1925
777	6719	1917
778	6729	1909
779	6741	1901
780	6750	1892
781	6760	1884
782	6770	1876
783	6780	1868
784	6791	1860
785	6801	1851
786	6811	1843
787	6824	1836
788	6835	1827
789	6844	1819
790	6856	1811
791	6865	1803
792	6876	1794
793	6887	1786
794	6896	1778
795	6907	1770
796	6918	1762
797	6927	1753
798	6938	1745
799	6947	1736
800	6957	1728
801	6967	1720
802	6976	1711
803	6987	1703
804	6998	1695
805	7009	1687
806	7021	1679
807	7030	1670
808	7041	1662
809	7052	1654
810	7062	1645
811	7074	1638
812	7088	1630
813	7100	1622
814	7108	1613
815	7119	1605
816	7130	1597
817	7139	1588
818	7166	1583
819	7175	1575
820	7185	1566
821	7196	1558
822	7206	1549
823	7217	1541
824	7226	1532
825	7237	1524
826	7248	1516
827	7257	1507
828	7266	1498
829	7274	1489
830	7282	1481
831	7289	1471
832	7298	1463
833	7308	1454
834	7317	1445
835	7325	1437
836	7334	1428
837	7343	1419
838	7400	1420
839	7411	1411
840	7428	1404
841	7442	1396
842	7451	1387
843	7463	1379
844	7475	1371
845	7485	1362
846	7497	1354
847	7512	1346
848	7525	1338
849	7534	1329
850	7548	1321
851	7559	1313
852	7569	1304
853	7579	1295
854	7590	1287
855	7599	1278
856	7610	1269
857	7621	1261
858	7629	1252
859	7641	1243
860	7651	1235
861	7661	1226
862	7673	1218
863	7681	1209
864	7692	1200
865	7704	1192
866	7713	1183
867	7723	1174
868	7734	1165
869	7744	1157
870	7755	1148
871	7765	1139
872	7774	1130
873	7784	1122
874	7793	1113
875	7804	1104
876	7814	1096
877	7823	1087
878	7835	1078
879	7845	1069
880	7855	1061
881	7867	1052
882	7875	1043
883	7885	1034
884	7895	1025
885	7906	1017
886	7916	1008
887	7926	999
888	7935	990
889	7946	982
890	7955	973
891	7966	964
892	7977	955
893	7987	947
894	7998	938
895	8007	929
896	8017	920
897	8028	911
898	8036	902
899	8047	894
900	8057	885
901	8066	876
902	8078	867
903	8087	858
904	8098	850
905	8110	841
906	8122	832
907	8134	824
908	8146	815
909	8157	806
910	8167	797
911	8198	791
912	8214	782
913	8228	774
914	8240	765
915	8249	756
916	8262	747
917	8273	739
918	8282	730
919	8296	721
920	8311	712
921	8322	704
922	8331	695
923	8343	686
924	8352	677
925	8362	668
926	8373	659
927	8381	650
928	8393	641
929	8405	632
930	8414	623
931	8427	614
932	8439	606
933	8450	597
934	8462	588
935	8473	579
936	8484	570
937	8493	561
938	8505	552
939	8523	544
940	8537	535
941	8547	526
942	8558	517
943	8570	508
944	8581	499
945	8590	490
946	8601	481
947	8611	472
948	8627	463
949	8641	454
950	8655	445
951	8666	436
952	8676	427
953	8693	419
954	8724	411
955	8749	402
956	8762	393
957	8771	384
958	8783	375
959	8796	366
960	8807	357
961	8817	348
962	8884	341
963	8896	332
964	8905	323
965	8917	313
966	8937	304
967	8948	295
968	8958	286
969	8968	277
970	8978	268
971	8987	258
972	8996	249
973	9005	240
974	9013	231
975	9022	221
976	9030	212
977	9039	203
978	9048	194
979	9057	184
980	9065	175
981	9073	166
982	9081	157
983	9091	147
984	9101	138
985	9111	129
986	9120	120
987	9131	110
988	9139	101
989	9156	92
990	9169	83
991	9183	74
992	9196	64
993	9207	55
994	9219	46
995	9234	37
996	9247	27
997	9262	18
998	9274	9
999	9286	0
